Designator,Footprint,Quantity,Value,LCSC Part #
"_68, _67, _66, _65, _64, _63, _62, _61, _60, _59, _58, _57, _56, _55, _54, _53, _52, _51, _50, _49, _48, _47, _46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, , 1, 2, 3",,71,,
"C101, C601, C602, C613, C614, C702, C703, C704, C705, C913",0508,10,1uF,
"C102, C103, C403, C404, C501, C502, C607, C608, C621, C708, C712, C801, C904, C912",0603,14,1µF,
"C201, C207, C208",0603,3,22uF,
"C202, C203, C205, C617, C802, C803, C804, C805, C806, C807, C808, C809, C818, C819, C820, C821, C901, C902, C903, C905, C906, C907, C908, C919",0603,24,100nF,
"C204, C605, C606",0603,3,1uF,
C206,0603,1,10uF,
C301,0603,1,2.2nF,
"C302, C348",0603,2,270pF,
C303,0603,1,1.2nF,
C304,0603,1,68pF,
C305,0603,1,91pF,
"C306, C324",0603,2,1.5nF,
"C307, C315",0603,2,1nF,
C308,0603,1,2.7nF,
"C309, C316, C330, C334",0603,4,150pF,
C310,0603,1,680pF,
"C311, C352, C364, C367",0603,4,51pF,
C312,0603,1,3.3nF,
C313,0603,1,430pF,
C314,0603,1,300pF,
C317,0603,1,36pF,
C318,0603,1,560pF,
"C319, C322",0603,2,330pF,
C320,0603,1,820pF,
"C321, C355",0603,2,39pF,
"C323, C357",0603,2,12pF,
"C325, C342",0603,2,130pF,
C326,0603,1,"8,2pF",
C327,0603,1,470pF,
"C328, C360, C363, C369",0603,4,24pF,
"C329, C344",0603,2,220pF,
"C331, C336",0603,2,390pF,
C332,0603,1,10pF,
"C333, C335, C371",0603,3,18pF,
"C337, C338",0603,2,56pF,
"C339, C368",0603,2,3.3pF,
C340,0603,1,120pF,
C341,0603,1,"6,8pF",
"C343, C347, C351",0603,3,82pF,
C345,0603,1,16pF,
C346,0603,1,3.9pF,
C349,0603,1,23pF,
"C350, C373",0603,2,30pF,
C353,0603,1,33pF,
C354,0603,1,100pF,
C356,0603,1,110pF,
C358,0603,1,27pF,
C359,0603,1,1pF,
C361,0603,1,15pF,
C362,0603,1,47pF,
C365,0603,1,7.5pF,
C366,0603,1,13pF,
"C370, C374",0603,2,2pF,
C372,0603,1,"0,75pF",
"C603, C620, C701, C707, C709, C711, C909, C911",0603,8,10µF,
"C604, C706, C710, C910",0603,4,4.7µF,
"C609, C610",0805,2,100nF,
"C611, C612, C916, C917",0805,4,1µF,
"C615, C616",0805,2,10nF,
C618,0603,1,8.2pF,
"C619, C625",0603,2,20pF,
"C622, C623",0603,2,1000pF,
C626,0603,1,2.2µF,
"FB102, FB201, FB402, FB501, FB601, FB701, FB702, FB901",0603,8,1000Ω@100MHz,
"IC101, IC405, IC501",SOT-23-5,3,LP5907MFX-3.3,
"IC104, IC502",QFN50P400X400X90-25N-D,2,PE43711A-Z,
"IC201, IC202",QFN50P400X400X90-25N-D,2,PE42582A-X,
IC203,WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias,1,LM27762,
"IC401, IC402, IC403",QFN50P400X400X80-21N-D,3,F2912NCGI8,
IC601,QFN50P400X400X80-25N-D,1,LTC6432AIUF-15#PBF,
"IC602, IC702, IC703, IC902",SON50P300X300X80-11N-D,4,TPS7A9401DSCR,
IC701,QFN50P900X900X80-65N,1,LTC2209IUPPBF,
IC801,QFN50P900X900X90-65N-D,1,SI5391B-A-GM,
IC901,QFN50P700X700X100-49N,1,MAX5885EGM+D,
J101,SMA_BAT_Wireless_BWSMA-KWE-Z001,1,SMA RX,
"J701, J901",PinHeader_2x20_P2.54mm_Vertical,2,Adafruit Pin Header 2x20 Female 2.54mm,
J902,SMA_BAT_Wireless_BWSMA-KWE-Z001,1,SMA TX,
"L301, L305",1008,2,4.7u,
L302,1210,1,6.8u,
L303,1008,1,3.3u,
"L304, L321, L340",1008,3,1.2u,
L306,1008,1,2.7u,
"L307, L311, L326",1008,3,3.9u,
"L308, L313, L324, L325",1008,4,1.5u,
"L309, L315, L347",1008,3,1u,
L310,1008,1,6.2u,
L312,1008,1,15u,
"L314, L317, L318",1008,3,2.2u,
L316,1008,1,620n,
L319,1008,1,4.7,
L320,1008,1,910n,
"L322, L346",1008,2,560n,
"L323, L327, L338",1008,3,390n,
"L328, L331, L339",1008,3,680n,
L329,1008,1,270nF,
L330,0603,1,200n,
L332,1008,1,750n,
L333,1008,1,1.8u,
L334,1008,1,330n,
"L335, L342",1008,2,470n,
"L336, L337",0603,2,180n,
L341,1008,1,270n,
L343,0603,1,160n,
L344,1008,1,150n,
L345,0603,1,300n,
L348,0603,1,110nH,
L349,0603,1,24nH,
L350,0603,1,130nH,
L351,0603,1,160nH,
L352,0603,1,75nH,
L353,0805,1,240nH,
"L354, L355, L605, L606, L609, L610",0603,6,100nH,
L356,0603,1,68nH,
"L601, L604",L_Changjiang_FNR8065S,2,470µH,
"L602, L603",L_Sunlord_SWPA252010S,2,560nH,
"L607, L608",0603,2,27nH,
"L611, L612",L_Sunlord_SWPA4030S,2,47µH,
"R101, R902",0603,2,1MΩ,
"R102, R201, R202, R501, R614, R615, R618, R702, R703, R706, R707, R708, R710, R711, R905, R906, R908",0603,17,10kΩ,
R203,0603,1,160kΩ,
"R204, R205",0603,2,91kΩ,
R206,0603,1,130kΩ,
"R601, R602",0603,2,360Ω,
"R603, R606",0603,2,390Ω,
"R604, R605",0603,2,54Ω,
"R607, R608, R612, R613",0603,4,10Ω,
"R609, R610",0603,2,33Ω,
"R611, R701, R919",0603,3,100Ω,
R616,0603,1,30kΩ 1%,
"R617, R705, R909",0603,3,47kΩ,
R619,0603,1,3.6kΩ 1%,
"R620, R621",0603,2,82Ω,
"R622, R623",0603,2,2.2kΩ,
"R704, R907",0603,2,22kΩ 1%,
R709,0603,1,12kΩ 1%,
"R801, R802",0603,2,4.7kΩ,
R901,0603,1,2kΩ,
"R903, R904",0603,2,25Ω,
"R910, R911, R912, R913, R914, R915, R916, R917, R918, R920, R921",0603,11,47Ω,
"T101, T602, T901, T902",CX2041NLT,4,CX2041NLT 1:1,
T601,TTWB20101LB,1,TTWB-2-A 1:2,
"TVS101, TVS901",D_SOD-323_HandSoldering,2,CDSOD323-T05LC,
U902,Texas_Instruments-DCK0005A-0-0-IPC_C,1,SN74LV1T04DCKR,
X801,Oscillator_SMD_Kyocera_2520-6Pin_2.5x2.0mm,1,38.4 MHz TCXO,
